,N,beta,effectiveBeta,effectiveBetaPct,graph_scale,meanDegree,p,rep
0,10000,0.15,0.150427886196828,1.0028525746455201,100,13.1002,1.0,0
1,10000,0.15,0.15340195481953103,1.0226796987968736,100,13.1002,0.75,0
2,10000,0.15,0.15006010100237602,1.0004006733491735,100,13.1002,0.5,0
3,10000,0.15,0.14930855202734625,0.995390346848975,100,13.1002,0.25,0
4,10000,0.15,0.13573405410810951,0.9048936940540635,100,13.1002,0.1,0
5,10000,0.15,0.12727440761134176,0.8484960507422784,100,13.1002,0.05,0
6,10000,0.15,0.1428913000637401,0.9526086670916006,100,13.1002,0.01,0
7,10000,0.15,0.1416799816240102,0.9445332108267346,100,13.1002,0.005,0
8,10000,0.15,0.1390019916313334,0.9266799442088893,100,13.1002,0.001,0
9,10000,0.15,0.1490442545100335,0.9936283634002234,100,13.1002,0.0,0
10,10000,0.15,0.16149956034612772,1.0766637356408515,80,12.1354,1.0,0
11,10000,0.15,0.15748953280836162,1.0499302187224109,80,12.1354,0.75,0
12,10000,0.15,0.14894668656263077,0.9929779104175385,80,12.1354,0.5,0
13,10000,0.15,0.1371809250596265,0.9145395003975101,80,12.1354,0.25,0
14,10000,0.15,0.13822316707712676,0.9214877805141785,80,12.1354,0.1,0
15,10000,0.15,0.1442555894334022,0.9617039295560147,80,12.1354,0.05,0
16,10000,0.15,0.13165816567087593,0.8777211044725063,80,12.1354,0.01,0
17,10000,0.15,0.1333444317359204,0.8889628782394693,80,12.1354,0.005,0
18,10000,0.15,0.12455373931288136,0.8303582620858757,80,12.1354,0.001,0
19,10000,0.15,0.1345096423524168,0.8967309490161121,80,12.1354,0.0,0
20,10000,0.15,0.15724444845986138,1.0482963230657425,50,10.7954,1.0,0
21,10000,0.15,0.1512864333434852,1.0085762222899015,50,10.7954,0.75,0
22,10000,0.15,0.15369898162862386,1.024659877524159,50,10.7954,0.5,0
23,10000,0.15,0.13214971207107712,0.8809980804738475,50,10.7954,0.25,0
24,10000,0.15,0.13253244749174786,0.8835496499449857,50,10.7954,0.1,0
25,10000,0.15,0.1353722485240039,0.9024816568266927,50,10.7954,0.05,0
26,10000,0.15,0.14431916454771496,0.962127763651433,50,10.7954,0.01,0
27,10000,0.15,0.12673919304658537,0.8449279536439025,50,10.7954,0.005,0
28,10000,0.15,0.12990298249945173,0.8660198833296783,50,10.7954,0.001,0
29,10000,0.15,0.14038094918761684,0.9358729945841123,50,10.7954,0.0,0
30,10000,0.15,0.1643256099098024,1.0955040660653494,30,8.457,1.0,0
31,10000,0.15,0.16619593858991158,1.1079729239327438,30,8.457,0.75,0
32,10000,0.15,0.14788603664611635,0.9859069109741091,30,8.457,0.5,0
33,10000,0.15,0.13276266611380658,0.8850844407587105,30,8.457,0.25,0
34,10000,0.15,0.12447642204983908,0.8298428136655939,30,8.457,0.1,0
35,10000,0.15,0.12973289355201242,0.8648859570134162,30,8.457,0.05,0
36,10000,0.15,0.133885461926784,0.89256974617856,30,8.457,0.01,0
37,10000,0.15,0.14054999311978328,0.9369999541318885,30,8.457,0.005,0
38,10000,0.15,0.12705577685364516,0.8470385123576345,30,8.457,0.001,0
39,10000,0.15,0.12663959040792075,0.844263936052805,30,8.457,0.0,0
40,10000,0.15,0.1587372262442593,1.0582481749617287,10,4.127,1.0,0
41,10000,0.15,0.1491244273836047,0.9941628492240314,10,4.127,0.75,0
42,10000,0.15,0.13655614318251105,0.910374287883407,10,4.127,0.5,0
43,10000,0.15,0.12194069088564234,0.8129379392376156,10,4.127,0.25,0
44,10000,0.15,0.10737818253150444,0.7158545502100296,10,4.127,0.1,0
45,10000,0.15,0.10450857594818445,0.6967238396545631,10,4.127,0.05,0
46,10000,0.15,0.09507336056468864,0.633822403764591,10,4.127,0.01,0
47,10000,0.15,0.09852262765207065,0.656817517680471,10,4.127,0.005,0
48,10000,0.15,0.09346447956328667,0.6230965304219112,10,4.127,0.001,0
49,10000,0.15,0.10320160405010534,0.688010693667369,10,4.127,0.0,0
50,10000,0.15,0.14828536627606476,0.9885691085070984,5,2.1484,1.0,0
51,10000,0.15,0.1408260768924263,0.9388405126161753,5,2.1484,0.75,0
52,10000,0.15,0.1292069271526088,0.8613795143507255,5,2.1484,0.5,0
53,10000,0.15,0.1140286656087034,0.7601911040580227,5,2.1484,0.25,0
54,10000,0.15,0.10316911102444233,0.6877940734962822,5,2.1484,0.1,0
55,10000,0.15,0.09474314687072466,0.6316209791381644,5,2.1484,0.05,0
56,10000,0.15,0.08057805595228319,0.537187039681888,5,2.1484,0.01,0
57,10000,0.15,0.06747344679299512,0.4498229786199675,5,2.1484,0.005,0
58,10000,0.15,0.11211895382614404,0.7474596921742936,5,2.1484,0.001,0
59,10000,0.15,0.08272635216157401,0.5515090144104934,5,2.1484,0.0,0
60,10000,0.15,0.15448606695011274,1.0299071130007518,100,12.8966,1.0,1
61,10000,0.15,0.14594599069359798,0.9729732712906533,100,12.8966,0.75,1
62,10000,0.15,0.1557480261004115,1.0383201740027435,100,12.8966,0.5,1
63,10000,0.15,0.14285112288903237,0.9523408192602159,100,12.8966,0.25,1
64,10000,0.15,0.13763075779953862,0.9175383853302576,100,12.8966,0.1,1
65,10000,0.15,0.1440883050779193,0.9605887005194621,100,12.8966,0.05,1
66,10000,0.15,0.13952921823136621,0.9301947882091082,100,12.8966,0.01,1
67,10000,0.15,0.1401064905017079,0.934043270011386,100,12.8966,0.005,1
68,10000,0.15,0.13650956116821275,0.9100637411214184,100,12.8966,0.001,1
69,10000,0.15,0.1378611143832508,0.9190740958883387,100,12.8966,0.0,1
70,10000,0.15,0.15461115454787566,1.030741030319171,80,12.6776,1.0,1
71,10000,0.15,0.14525933687739753,0.9683955791826503,80,12.6776,0.75,1
72,10000,0.15,0.1424671877920874,0.9497812519472493,80,12.6776,0.5,1
73,10000,0.15,0.15007890762607048,1.0005260508404699,80,12.6776,0.25,1
74,10000,0.15,0.14324612492301933,0.9549741661534622,80,12.6776,0.1,1
75,10000,0.15,0.13729751030215329,0.9153167353476886,80,12.6776,0.05,1
76,10000,0.15,0.1380633522661059,0.9204223484407059,80,12.6776,0.01,1
77,10000,0.15,0.1377567192104081,0.9183781280693875,80,12.6776,0.005,1
78,10000,0.15,0.13523348995746481,0.9015565997164321,80,12.6776,0.001,1
79,10000,0.15,0.14038232159545616,0.9358821439697078,80,12.6776,0.0,1
80,10000,0.15,0.15947250451291373,1.0631500300860917,50,10.5088,1.0,1
81,10000,0.15,0.15447526572316955,1.0298351048211305,50,10.5088,0.75,1
82,10000,0.15,0.14411902588624856,0.9607935059083238,50,10.5088,0.5,1
83,10000,0.15,0.14322770827731326,0.9548513885154218,50,10.5088,0.25,1
84,10000,0.15,0.12125316956916743,0.8083544637944495,50,10.5088,0.1,1
85,10000,0.15,0.138631565547702,0.9242104369846801,50,10.5088,0.05,1
86,10000,0.15,0.13084539562050332,0.8723026374700221,50,10.5088,0.01,1
87,10000,0.15,0.12792029363709448,0.8528019575806299,50,10.5088,0.005,1
88,10000,0.15,0.1317957789189001,0.8786385261260007,50,10.5088,0.001,1
89,10000,0.15,0.12731432338510504,0.8487621559007003,50,10.5088,0.0,1
90,10000,0.15,0.1482713433254765,0.9884756221698434,30,8.6242,1.0,1
91,10000,0.15,0.15980774131091388,1.0653849420727592,30,8.6242,0.75,1
92,10000,0.15,0.1489602146008285,0.9930680973388567,30,8.6242,0.5,1
93,10000,0.15,0.14753670847757247,0.9835780565171498,30,8.6242,0.25,1
94,10000,0.15,0.12447799600584028,0.8298533067056019,30,8.6242,0.1,1
95,10000,0.15,0.13390162766686192,0.8926775177790796,30,8.6242,0.05,1
96,10000,0.15,0.12366111217761404,0.8244074145174269,30,8.6242,0.01,1
97,10000,0.15,0.12225761040465549,0.8150507360310366,30,8.6242,0.005,1
98,10000,0.15,0.12706687380992246,0.8471124920661498,30,8.6242,0.001,1
99,10000,0.15,0.11954374562575577,0.7969583041717052,30,8.6242,0.0,1
100,10000,0.15,0.15507450449584242,1.033830029972283,10,4.0922,1.0,1
101,10000,0.15,0.14802895834228705,0.9868597222819137,10,4.0922,0.75,1
102,10000,0.15,0.13042012132484496,0.8694674754989664,10,4.0922,0.5,1
103,10000,0.15,0.12697656381154804,0.8465104254103203,10,4.0922,0.25,1
104,10000,0.15,0.11685870911730116,0.7790580607820078,10,4.0922,0.1,1
105,10000,0.15,0.101466566350671,0.67644377567114,10,4.0922,0.05,1
106,10000,0.15,0.08996076906583897,0.5997384604389265,10,4.0922,0.01,1
107,10000,0.15,0.1149019903793091,0.766013269195394,10,4.0922,0.005,1
108,10000,0.15,0.10517691460068408,0.7011794306712272,10,4.0922,0.001,1
109,10000,0.15,0.10120759116205422,0.6747172744136948,10,4.0922,0.0,1
110,10000,0.15,0.15625955115394327,1.0417303410262886,5,2.1032,1.0,1
111,10000,0.15,0.13696704552025113,0.9131136368016742,5,2.1032,0.75,1
112,10000,0.15,0.12467956825498233,0.8311971216998822,5,2.1032,0.5,1
113,10000,0.15,0.09610037855568147,0.6406691903712098,5,2.1032,0.25,1
114,10000,0.15,0.10459242214318155,0.6972828142878771,5,2.1032,0.1,1
115,10000,0.15,0.10130701845428054,0.675380123028537,5,2.1032,0.05,1
116,10000,0.15,0.07796861387752259,0.5197907591834839,5,2.1032,0.01,1
117,10000,0.15,0.08587488061302158,0.5724992040868105,5,2.1032,0.005,1
118,10000,0.15,0.09954827741820554,0.663655182788037,5,2.1032,0.001,1
119,10000,0.15,0.08307572356878395,0.5538381571252264,5,2.1032,0.0,1
120,10000,0.15,0.15202715193562305,1.0135143462374872,100,12.8776,1.0,2
121,10000,0.15,0.14312320379395346,0.9541546919596898,100,12.8776,0.75,2
122,10000,0.15,0.15285974468942407,1.0190649645961605,100,12.8776,0.5,2
123,10000,0.15,0.13802066373160943,0.9201377582107295,100,12.8776,0.25,2
124,10000,0.15,0.1359058893511114,0.9060392623407426,100,12.8776,0.1,2
125,10000,0.15,0.14323347243724677,0.9548898162483118,100,12.8776,0.05,2
126,10000,0.15,0.13877487841790143,0.9251658561193429,100,12.8776,0.01,2
127,10000,0.15,0.13262550883260127,0.8841700588840085,100,12.8776,0.005,2
128,10000,0.15,0.12487492252199936,0.8324994834799958,100,12.8776,0.001,2
129,10000,0.15,0.14020382873594728,0.9346921915729819,100,12.8776,0.0,2
130,10000,0.15,0.16274669186936605,1.0849779457957738,80,12.1676,1.0,2
131,10000,0.15,0.15332232282688116,1.0221488188458745,80,12.1676,0.75,2
132,10000,0.15,0.15589463225384978,1.0392975483589986,80,12.1676,0.5,2
133,10000,0.15,0.1413391538266861,0.9422610255112407,80,12.1676,0.25,2
134,10000,0.15,0.13290140462525504,0.886009364168367,80,12.1676,0.1,2
135,10000,0.15,0.13433495797162967,0.8955663864775312,80,12.1676,0.05,2
136,10000,0.15,0.13690015756219873,0.9126677170813249,80,12.1676,0.01,2
137,10000,0.15,0.13580780159803502,0.9053853439869002,80,12.1676,0.005,2
138,10000,0.15,0.13084973368024072,0.8723315578682715,80,12.1676,0.001,2
139,10000,0.15,0.13523694802885736,0.9015796535257158,80,12.1676,0.0,2
140,10000,0.15,0.14963855549370728,0.9975903699580485,50,10.7688,1.0,2
141,10000,0.15,0.15542357654833217,1.036157176988881,50,10.7688,0.75,2
142,10000,0.15,0.15195285687187726,1.0130190458125152,50,10.7688,0.5,2
143,10000,0.15,0.143866283640241,0.9591085576016067,50,10.7688,0.25,2
144,10000,0.15,0.1430465155065225,0.9536434367101501,50,10.7688,0.1,2
145,10000,0.15,0.11737915603508191,0.7825277069005461,50,10.7688,0.05,2
146,10000,0.15,0.1269161478808909,0.8461076525392727,50,10.7688,0.01,2
147,10000,0.15,0.1257175989801964,0.8381173265346428,50,10.7688,0.005,2
148,10000,0.15,0.1219043549751296,0.8126956998341973,50,10.7688,0.001,2
149,10000,0.15,0.13524692601250632,0.9016461734167088,50,10.7688,0.0,2
150,10000,0.15,0.15617757786639927,1.0411838524426618,30,8.5788,1.0,2
151,10000,0.15,0.15344898598348103,1.0229932398898736,30,8.5788,0.75,2
152,10000,0.15,0.1454080291337419,0.9693868608916127,30,8.5788,0.5,2
153,10000,0.15,0.14208686016792108,0.9472457344528072,30,8.5788,0.25,2
154,10000,0.15,0.1318922769170417,0.8792818461136114,30,8.5788,0.1,2
155,10000,0.15,0.12310504091793087,0.8207002727862058,30,8.5788,0.05,2
156,10000,0.15,0.13194501072882367,0.8796334048588245,30,8.5788,0.01,2
157,10000,0.15,0.12615164493707728,0.841010966247182,30,8.5788,0.005,2
158,10000,0.15,0.12532817624180345,0.8355211749453564,30,8.5788,0.001,2
159,10000,0.15,0.11560065060780754,0.7706710040520502,30,8.5788,0.0,2
160,10000,0.15,0.16230389389944547,1.0820259593296364,10,4.161,1.0,2
161,10000,0.15,0.13822173299980073,0.9214782199986715,10,4.161,0.75,2
162,10000,0.15,0.12923500004333935,0.8615666669555957,10,4.161,0.5,2
163,10000,0.15,0.10840289125257295,0.7226859416838197,10,4.161,0.25,2
164,10000,0.15,0.10419861907016947,0.6946574604677965,10,4.161,0.1,2
165,10000,0.15,0.0993299926287665,0.6621999508584434,10,4.161,0.05,2
166,10000,0.15,0.10515772589454372,0.7010515059636249,10,4.161,0.01,2
167,10000,0.15,0.10122695684217088,0.6748463789478059,10,4.161,0.005,2
168,10000,0.15,0.10063260344737056,0.6708840229824704,10,4.161,0.001,2
169,10000,0.15,0.09766838981834701,0.65112259878898,10,4.161,0.0,2
170,10000,0.15,0.15660865806464006,1.0440577204309338,5,2.193,1.0,2
171,10000,0.15,0.15425578866885992,1.0283719244590661,5,2.193,0.75,2
172,10000,0.15,0.12074828195698138,0.8049885463798759,5,2.193,0.5,2
173,10000,0.15,0.10616113284177815,0.7077408856118543,5,2.193,0.25,2
174,10000,0.15,0.10088119975802562,0.6725413317201708,5,2.193,0.1,2
175,10000,0.15,0.10556638220281517,0.7037758813521011,5,2.193,0.05,2
176,10000,0.15,0.07133167280099041,0.4755444853399361,5,2.193,0.01,2
177,10000,0.15,0.07929973801358899,0.5286649200905933,5,2.193,0.005,2
178,10000,0.15,0.09085713242124392,0.6057142161416261,5,2.193,0.001,2
179,10000,0.15,0.08871272623013476,0.5914181748675651,5,2.193,0.0,2
180,10000,0.15,0.15145365145602677,1.0096910097068452,100,13.124,1.0,3
181,10000,0.15,0.15620872603108477,1.0413915068738986,100,13.124,0.75,3
182,10000,0.15,0.15093114016810397,1.006207601120693,100,13.124,0.5,3
183,10000,0.15,0.1421541460563377,0.9476943070422513,100,13.124,0.25,3
184,10000,0.15,0.15511891209866951,1.0341260806577968,100,13.124,0.1,3
185,10000,0.15,0.14717270884268369,0.9811513922845579,100,13.124,0.05,3
186,10000,0.15,0.1475515787210961,0.9836771914739739,100,13.124,0.01,3
187,10000,0.15,0.13985550135325334,0.932370009021689,100,13.124,0.005,3
188,10000,0.15,0.12376862584862153,0.8251241723241436,100,13.124,0.001,3
189,10000,0.15,0.14225171882304047,0.9483447921536031,100,13.124,0.0,3
190,10000,0.15,0.1584972681384857,1.0566484542565713,80,12.4238,1.0,3
191,10000,0.15,0.15764636285904754,1.0509757523936503,80,12.4238,0.75,3
192,10000,0.15,0.1462213359021413,0.9748089060142753,80,12.4238,0.5,3
193,10000,0.15,0.14829162639035579,0.988610842602372,80,12.4238,0.25,3
194,10000,0.15,0.1363494253685909,0.9089961691239394,80,12.4238,0.1,3
195,10000,0.15,0.13006981534903864,0.8671321023269243,80,12.4238,0.05,3
196,10000,0.15,0.1251594038879198,0.8343960259194654,80,12.4238,0.01,3
197,10000,0.15,0.1344922882442431,0.8966152549616208,80,12.4238,0.005,3
198,10000,0.15,0.1434170572849418,0.9561137152329454,80,12.4238,0.001,3
199,10000,0.15,0.14439671217165229,0.9626447478110153,80,12.4238,0.0,3
200,10000,0.15,0.15872162163539114,1.058144144235941,50,10.729,1.0,3
201,10000,0.15,0.15792806308264115,1.0528537538842744,50,10.729,0.75,3
202,10000,0.15,0.14910803038413875,0.9940535358942584,50,10.729,0.5,3
203,10000,0.15,0.14465398392834572,0.9643598928556382,50,10.729,0.25,3
204,10000,0.15,0.13275220141438235,0.8850146760958824,50,10.729,0.1,3
205,10000,0.15,0.12671085003357355,0.8447390002238236,50,10.729,0.05,3
206,10000,0.15,0.14285462930649268,0.9523641953766179,50,10.729,0.01,3
207,10000,0.15,0.1278667551476208,0.8524450343174721,50,10.729,0.005,3
208,10000,0.15,0.1368005739636112,0.9120038264240747,50,10.729,0.001,3
209,10000,0.15,0.12481105087935455,0.8320736725290304,50,10.729,0.0,3
210,10000,0.15,0.15454022788359884,1.030268185890659,30,8.438,1.0,3
211,10000,0.15,0.16260766603758783,1.0840511069172523,30,8.438,0.75,3
212,10000,0.15,0.13946469138816128,0.9297646092544086,30,8.438,0.5,3
213,10000,0.15,0.1380055488394141,0.9200369922627607,30,8.438,0.25,3
214,10000,0.15,0.1256644005602378,0.8377626704015855,30,8.438,0.1,3
215,10000,0.15,0.13997498208429437,0.9331665472286292,30,8.438,0.05,3
216,10000,0.15,0.12207382910754178,0.8138255273836119,30,8.438,0.01,3
217,10000,0.15,0.12795203112167206,0.8530135408111471,30,8.438,0.005,3
218,10000,0.15,0.12135094871949502,0.8090063247966335,30,8.438,0.001,3
219,10000,0.15,0.1268294862315321,0.845529908210214,30,8.438,0.0,3
220,10000,0.15,0.15988483051237398,1.0658988700824932,10,4.1158,1.0,3
221,10000,0.15,0.14617481365292917,0.9744987576861945,10,4.1158,0.75,3
222,10000,0.15,0.1394141404118581,0.9294276027457207,10,4.1158,0.5,3
223,10000,0.15,0.12392474978687448,0.8261649985791633,10,4.1158,0.25,3
224,10000,0.15,0.1148327600461826,0.7655517336412174,10,4.1158,0.1,3
225,10000,0.15,0.09979794453350493,0.6653196302233663,10,4.1158,0.05,3
226,10000,0.15,0.10412892551550731,0.6941928367700488,10,4.1158,0.01,3
227,10000,0.15,0.09041079808614658,0.6027386539076439,10,4.1158,0.005,3
228,10000,0.15,0.11065945487115739,0.7377296991410492,10,4.1158,0.001,3
229,10000,0.15,0.10638274628686006,0.7092183085790671,10,4.1158,0.0,3
230,10000,0.15,0.16031055312280604,1.068737020818707,5,2.1386,1.0,3
231,10000,0.15,0.14148277834014697,0.9432185222676465,5,2.1386,0.75,3
232,10000,0.15,0.12172060639220778,0.8114707092813852,5,2.1386,0.5,3
233,10000,0.15,0.11545683203648761,0.7697122135765841,5,2.1386,0.25,3
234,10000,0.15,0.0725391203507741,0.48359413567182735,5,2.1386,0.1,3
235,10000,0.15,0.10407752781654496,0.6938501854436331,5,2.1386,0.05,3
236,10000,0.15,0.09898047475513569,0.6598698317009046,5,2.1386,0.01,3
237,10000,0.15,0.10551953259695346,0.7034635506463565,5,2.1386,0.005,3
238,10000,0.15,0.08378451118753491,0.5585634079168994,5,2.1386,0.001,3
239,10000,0.15,0.09073710516233792,0.6049140344155861,5,2.1386,0.0,3
240,10000,0.15,0.15304129644008047,1.0202753096005366,100,12.8946,1.0,4
241,10000,0.15,0.1570372495715034,1.046914997143356,100,12.8946,0.75,4
242,10000,0.15,0.15378088750069815,1.025205916671321,100,12.8946,0.5,4
243,10000,0.15,0.14934565047366335,0.9956376698244224,100,12.8946,0.25,4
244,10000,0.15,0.1285760593826254,0.8571737292175027,100,12.8946,0.1,4
245,10000,0.15,0.13534718811075921,0.9023145874050614,100,12.8946,0.05,4
246,10000,0.15,0.13928400024753204,0.9285600016502137,100,12.8946,0.01,4
247,10000,0.15,0.13793257458844724,0.919550497256315,100,12.8946,0.005,4
248,10000,0.15,0.13717098340870973,0.9144732227247315,100,12.8946,0.001,4
